job,marital,education,default,housing,loan,contact,month,poutcome,y
retired,married,primary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,yes,yes,cellular,may,unknown,no
services,married,secondary,no,no,no,telephone,jul,failure,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,yes,cellular,jul,unknown,no
blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
services,single,secondary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
unknown,single,tertiary,no,no,no,cellular,jul,unknown,no
admin.,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,single,tertiary,no,no,no,cellular,oct,failure,no
blue-collar,divorced,secondary,no,no,no,cellular,feb,success,no
unemployed,single,primary,no,no,no,cellular,feb,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,may,failure,no
technician,married,secondary,no,no,no,telephone,nov,unknown,no
services,single,primary,no,yes,no,telephone,may,unknown,no
management,single,secondary,no,no,no,unknown,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,apr,failure,no
blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,no
unemployed,married,primary,no,no,no,cellular,apr,unknown,yes
housemaid,married,primary,no,yes,no,cellular,jul,unknown,no
student,single,secondary,no,no,no,cellular,jun,success,yes
management,married,tertiary,no,yes,no,telephone,jul,unknown,no
self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,no
blue-collar,single,secondary,no,no,no,cellular,jan,failure,no
student,single,secondary,no,no,no,telephone,aug,unknown,yes
technician,single,secondary,no,no,yes,cellular,nov,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
management,single,tertiary,yes,yes,no,cellular,may,failure,no
self-employed,single,tertiary,no,no,no,cellular,aug,unknown,yes
unemployed,single,secondary,no,no,no,unknown,sep,unknown,no
technician,single,secondary,no,no,yes,cellular,jul,unknown,no
blue-collar,single,secondary,no,no,no,telephone,feb,failure,no
retired,divorced,tertiary,no,no,no,cellular,apr,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,yes,yes,no,unknown,may,unknown,no
admin.,married,unknown,no,yes,no,cellular,may,failure,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,yes,yes,cellular,may,failure,no
management,single,tertiary,no,no,no,cellular,feb,unknown,no
management,married,tertiary,no,yes,no,cellular,feb,unknown,yes
management,married,unknown,no,no,no,unknown,jun,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,jul,unknown,no
services,divorced,unknown,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,nov,unknown,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
retired,married,primary,no,no,yes,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,jan,other,no
technician,single,unknown,no,yes,no,unknown,may,unknown,no
entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,yes,cellular,jul,unknown,no
unemployed,divorced,primary,yes,yes,yes,unknown,jul,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,feb,unknown,no
technician,married,secondary,no,no,no,unknown,may,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,jun,success,yes
technician,married,secondary,no,yes,no,cellular,jan,failure,no
self-employed,single,secondary,no,no,no,cellular,jan,unknown,no
technician,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,tertiary,no,no,no,unknown,oct,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,no,yes,unknown,may,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,oct,failure,yes
admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
housemaid,married,secondary,no,no,no,telephone,mar,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,jan,unknown,no
technician,married,tertiary,no,no,no,unknown,may,unknown,no
blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,no,no,cellular,jan,unknown,no
admin.,single,secondary,no,yes,yes,cellular,apr,other,no
admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,failure,no
unknown,married,unknown,no,no,no,unknown,jun,unknown,no
admin.,married,tertiary,no,yes,no,cellular,nov,failure,no
technician,single,tertiary,no,yes,yes,cellular,feb,unknown,no
services,single,secondary,no,no,yes,cellular,jul,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,no
admin.,divorced,secondary,no,no,no,unknown,jun,unknown,no
services,married,secondary,no,yes,no,unknown,jun,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,married,tertiary,no,yes,no,telephone,nov,success,no
services,single,secondary,no,yes,no,cellular,feb,other,no
technician,married,secondary,no,yes,no,cellular,may,failure,no
retired,married,secondary,no,yes,no,cellular,jun,unknown,yes
blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
self-employed,married,secondary,no,yes,no,cellular,jul,unknown,no
management,single,tertiary,no,no,no,cellular,nov,unknown,no
services,married,secondary,no,no,no,unknown,jun,unknown,no
student,single,secondary,no,no,no,cellular,jun,unknown,no
retired,divorced,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,yes,cellular,nov,unknown,no
technician,married,tertiary,no,no,no,cellular,apr,unknown,no
retired,married,secondary,no,no,no,telephone,apr,success,yes
technician,single,tertiary,no,yes,no,cellular,may,success,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,cellular,aug,failure,yes
management,divorced,tertiary,no,yes,no,cellular,nov,failure,no
blue-collar,single,tertiary,no,no,no,telephone,apr,unknown,yes
technician,single,tertiary,no,yes,no,cellular,nov,unknown,no
technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,failure,no
services,single,secondary,no,yes,no,cellular,feb,failure,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
technician,married,tertiary,no,yes,no,cellular,may,other,no
self-employed,married,secondary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,yes,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,tertiary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,unknown,may,unknown,no
self-employed,married,primary,no,no,no,cellular,aug,unknown,no
management,married,primary,no,yes,no,cellular,nov,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,may,unknown,no
technician,married,secondary,no,yes,no,cellular,apr,other,no
blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
technician,married,tertiary,no,yes,yes,cellular,sep,other,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,no
technician,single,secondary,no,yes,no,cellular,may,failure,no
blue-collar,single,secondary,no,yes,no,cellular,jul,success,no
student,single,secondary,no,no,no,cellular,jan,unknown,no
technician,divorced,secondary,yes,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,other,no
technician,married,unknown,no,yes,no,unknown,may,unknown,no
housemaid,married,primary,no,no,no,unknown,jun,unknown,no
unemployed,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,single,secondary,no,yes,no,cellular,jul,unknown,no
self-employed,married,tertiary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,yes,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jan,other,no
management,married,secondary,no,yes,no,unknown,may,unknown,no
unemployed,single,secondary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,no,yes,cellular,may,failure,no
management,married,tertiary,no,yes,no,cellular,feb,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,no
retired,married,primary,no,yes,no,cellular,feb,failure,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
unemployed,single,secondary,no,no,no,cellular,aug,unknown,no
technician,divorced,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
housemaid,married,secondary,no,yes,yes,cellular,jul,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,feb,unknown,no
entrepreneur,married,tertiary,no,no,yes,cellular,jul,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,failure,no
self-employed,married,secondary,no,yes,yes,unknown,may,unknown,no
student,single,secondary,no,yes,no,unknown,may,unknown,no
technician,married,tertiary,no,yes,yes,cellular,jul,unknown,no
admin.,single,secondary,no,yes,no,telephone,jul,unknown,no
services,divorced,secondary,no,no,no,cellular,jul,unknown,no
services,married,secondary,no,yes,no,cellular,jun,failure,no
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
management,married,secondary,no,no,no,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,single,tertiary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
housemaid,married,tertiary,no,no,no,cellular,aug,failure,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
blue-collar,divorced,primary,no,yes,no,cellular,may,unknown,no
self-employed,married,tertiary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
admin.,divorced,secondary,no,no,no,unknown,may,unknown,no
student,married,secondary,no,no,no,unknown,jun,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,married,tertiary,no,no,yes,cellular,aug,success,yes
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,divorced,unknown,yes,yes,no,cellular,jul,unknown,yes
management,married,tertiary,no,no,no,cellular,jan,unknown,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
entrepreneur,married,secondary,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,yes
retired,divorced,primary,no,no,no,cellular,may,unknown,no
retired,divorced,primary,no,no,no,cellular,jun,failure,no
blue-collar,married,secondary,no,yes,no,telephone,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
management,married,unknown,no,no,yes,cellular,jul,unknown,no
technician,married,secondary,no,no,yes,cellular,jul,unknown,no
entrepreneur,married,secondary,no,yes,no,cellular,apr,unknown,yes
unemployed,married,primary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,may,failure,no
management,married,unknown,no,no,no,cellular,jan,unknown,no
blue-collar,single,primary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
admin.,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,feb,unknown,no
admin.,married,primary,no,no,yes,unknown,jun,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,may,failure,yes
unemployed,single,secondary,no,no,no,unknown,may,unknown,no
admin.,married,unknown,no,no,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,no,no,cellular,feb,unknown,no
self-employed,single,tertiary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,aug,success,yes
blue-collar,married,primary,no,yes,yes,unknown,jun,unknown,no
technician,married,secondary,no,no,no,cellular,nov,failure,no
unemployed,married,secondary,no,no,yes,cellular,nov,unknown,no
entrepreneur,single,tertiary,no,yes,no,cellular,jul,unknown,yes
unemployed,married,secondary,no,no,no,cellular,dec,success,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,cellular,jul,unknown,no
technician,single,tertiary,no,yes,no,cellular,apr,other,no
admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
services,married,primary,no,yes,no,cellular,jul,unknown,yes
management,single,tertiary,no,no,no,cellular,apr,unknown,yes
management,divorced,tertiary,no,no,yes,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,unknown,sep,unknown,no
management,single,tertiary,no,yes,no,cellular,feb,failure,no
retired,married,primary,no,no,no,cellular,oct,success,no
self-employed,divorced,primary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,yes,yes,cellular,nov,failure,no
retired,married,tertiary,no,no,no,cellular,feb,unknown,no
management,single,tertiary,no,no,yes,cellular,jul,unknown,no
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,no
management,single,unknown,no,yes,no,cellular,apr,unknown,no
blue-collar,single,secondary,no,yes,yes,cellular,may,failure,no
management,married,tertiary,no,no,no,cellular,jul,unknown,no
management,married,primary,no,no,no,cellular,sep,success,yes
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,may,failure,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
management,married,tertiary,yes,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,nov,failure,no
management,married,tertiary,no,yes,no,cellular,may,failure,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,unknown,no,no,no,cellular,feb,unknown,no
admin.,divorced,secondary,no,no,no,cellular,apr,unknown,yes
student,single,secondary,no,yes,no,cellular,may,unknown,no
management,single,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,may,unknown,no
housemaid,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
student,single,secondary,no,no,no,cellular,sep,unknown,no
technician,single,secondary,no,yes,no,cellular,apr,unknown,no
management,single,tertiary,no,yes,no,cellular,apr,failure,no
technician,single,primary,no,no,no,cellular,aug,unknown,yes
entrepreneur,married,secondary,no,yes,no,cellular,nov,other,no
housemaid,married,tertiary,no,no,no,unknown,jun,unknown,no
retired,married,primary,no,no,no,cellular,jun,unknown,no
services,married,secondary,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,failure,no
services,single,secondary,no,yes,no,cellular,may,failure,no
management,married,primary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,may,failure,yes
technician,divorced,primary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,failure,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
retired,married,tertiary,no,no,no,telephone,mar,unknown,yes
services,married,secondary,no,yes,no,telephone,may,failure,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,cellular,apr,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,feb,other,no
blue-collar,single,primary,no,yes,yes,unknown,jun,unknown,no
retired,married,unknown,no,no,no,cellular,mar,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,jun,unknown,no
technician,single,tertiary,no,no,no,cellular,may,success,no
blue-collar,married,primary,no,yes,yes,telephone,may,unknown,no
blue-collar,married,primary,no,yes,no,cellular,apr,unknown,no
technician,divorced,tertiary,no,yes,no,cellular,nov,unknown,no
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
retired,married,primary,yes,no,yes,cellular,nov,unknown,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,jul,unknown,no
management,married,secondary,no,yes,no,telephone,may,failure,no
admin.,married,secondary,no,no,no,cellular,jan,failure,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,no,no,cellular,feb,unknown,no
retired,divorced,tertiary,no,yes,no,cellular,nov,failure,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,telephone,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,jul,unknown,yes
services,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,single,primary,no,no,no,cellular,jan,unknown,no
self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,yes,yes,cellular,nov,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,may,failure,no
technician,single,tertiary,no,yes,no,cellular,apr,unknown,no
management,single,tertiary,no,yes,no,cellular,apr,failure,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,single,primary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,no
technician,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
management,married,primary,no,no,no,cellular,feb,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,no,no,cellular,may,failure,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
entrepreneur,divorced,tertiary,no,no,no,unknown,jun,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,apr,other,no
management,married,secondary,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
admin.,divorced,tertiary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,telephone,jul,unknown,yes
retired,married,secondary,no,no,no,cellular,sep,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,tertiary,no,no,no,cellular,apr,unknown,no
admin.,married,secondary,no,no,no,cellular,jul,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,nov,unknown,no
technician,married,secondary,no,yes,no,cellular,nov,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,apr,unknown,no
technician,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
self-employed,single,tertiary,no,no,no,cellular,apr,unknown,yes
services,single,secondary,no,no,yes,cellular,jul,unknown,no
technician,single,secondary,no,no,no,cellular,jul,unknown,no
management,divorced,tertiary,no,no,no,cellular,may,failure,no
unemployed,married,tertiary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,sep,success,yes
housemaid,married,secondary,no,no,no,telephone,feb,failure,no
self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
management,single,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,single,primary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
